firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,1,2,22,10,,,left,1,1.971055259,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,1,3,23,6,,,right,1,0.638151057,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,1,4,24,0,,,right,1,0.30477354,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,5,25,8,,,left,1,1.200580266,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,1,6,26,3,,,right,1,0.271518903,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,2.7,right,2.3,3.3,6,0,0,0,0,1,7,27,17,,,right,1,0.796514138,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,1,8,28,12,,,left,1,0.863287946,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,1,9,29,13,,,left,1,0.784324289,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.5,1.5,left,3,4,5.5,0,0,0,0,1,10,30,1,,,left,1,0.713466434,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,11,31,15,,,right,1,0.217397166,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,1,12,32,9,,,left,0,0.913052853,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,13,33,2,,,right,1,0.800676977,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,1,14,34,4,,,left,1,0.683897623,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.7,1.8,left,3.2,4.2,6,0,0,0,0,1,15,35,7,,,left,1,0.883855241,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,16,36,19,,,left,1,0.967175727,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,17,37,14,,,right,1,0.000178062,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,1,18,38,5,,,left,1,0.000180622,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.5,2.1,left,4,5,7.1,0,0,0,0,1,19,39,16,,,left,1,0.000182613,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,0,0,0,2,space,1.267610357,right,1,0.384088769,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,1,1,4,,,right,0,0.834007276,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.5,2.1,left,4,5,7.1,1,0,1,0,0,2,2,16,,,left,1,0.767305149,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,0,3,3,9,,,right,1,0.000843377,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,0,4,4,6,,,right,1,0.417355638,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.7,1.8,left,3.2,4.2,6,1,0,1,0,0,5,5,7,,,left,1,0.679696669,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,2.7,right,2.3,3.3,6,1,0,1,0,0,6,6,17,,,right,1,0.588014666,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,7,7,3,,,right,1,0.500594204,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.5,2.5,right,2,3,5.5,1,0,1,0,0,8,8,11,,,right,1,0.771375259,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,0,9,9,12,,,left,1,1.238033581,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,0,10,10,15,,,right,1,0.267529291,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,11,11,10,,,left,1,1.204046216,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,0,12,12,5,,,left,1,0.937957635,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,13,13,18,,,right,1,0.271371561,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,0,14,14,13,,,left,1,0.971403134,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.5,1.5,left,3,4,5.5,1,0,1,0,0,15,15,1,,,left,1,2.029678038,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,0,16,16,19,,,left,1,0.000197973,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,17,17,0,,,left,0,0.683862067,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,0,18,18,8,,,left,1,0.800740692,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,0,19,19,14,,,right,1,0.333624699,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,1,0,20,5,,,left,1,1.600615253,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,2.7,right,2.3,3.3,6,1,0,1,0,1,1,21,17,,,left,0,0.871499276,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,1,2,22,15,,,right,1,0.446543863,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.5,2.1,left,4,5,7.1,1,0,1,0,1,3,23,16,,,left,1,0.784225871,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,1,4,24,6,,,right,1,0.367367726,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,1,5,25,4,,,right,0,0.000185173,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,1,6,26,3,,,right,1,0.000167253,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,1,7,27,8,,,left,1,0.000168391,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,1,8,28,2,,,left,0,0.000174364,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,1,9,29,19,,,right,0,7.62E-05,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,1,10,30,10,,,right,0,0.000187449,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.7,1.8,left,3.2,4.2,6,1,0,1,0,1,11,31,7,,,right,0,0.000193706,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,1,12,32,13,,,left,1,0.000178062,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.5,2.5,right,2,3,5.5,1,0,1,0,1,13,33,11,,,right,1,0.000179484,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,1,14,34,14,,,left,0,0.721282956,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,1,15,35,18,,,right,1,0.450618808,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.5,1.5,left,3,4,5.5,1,0,1,0,1,16,36,1,,,left,1,0.916520225,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,1,17,37,12,,,right,0,0.000177493,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,1,18,38,0,,,left,0,0.688116212,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,1,19,39,9,,,left,0,0.000218737,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
,,,,,,1,0,1,0,,,,,,,,,,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,0,0,4,space,1.417515567,right,0,0.717224552,2018_Dec_04_1655,None,TimingTask,1,amaugust
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,1,1,14,,,right,1,0.538069312,2018_Dec_04_1655,None,TimingTask,1,amaugust
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,2,2,0,,,right,1,0.433796304,2018_Dec_04_1655,None,TimingTask,1,amaugust
